,,,2021-09-01 through 2022-09-01,,,,New maintainer requests,,,,,,,,,,,,,,,,,,,,,,,,
# Repo,URL,Current Maintainer,PR Count,Issue Count,Cost,Current Maintainer Request,Request 1,Request 2,Request 3,Request 4,per-person,Claimed,Accounted For,wjwwood,ivanpauno,mjeronimo,sloretz,clalancette,tfoote,ahcorde,cottsay,nuclearsandwich,hidmic,gbiggs,adityapande-1995,audrow,scpeters,quarkytale,methylDragon,codebot,External
ros2/example_interfaces,https://github.com/ros2/example_interfaces.git,mabelzhang,2,0,1,,gbiggs,,,,1,1,1,,,,,,,,,,,1,,,,,,,
ros2/mimick_vendor,https://github.com/ros2/mimick_vendor.git,gbiggs,4,1,1,,cottsay,,,,1,1,1,,,,,,,,1,,,,,,,,,,
ros2/performance_test_fixture,https://github.com/ros2/performance_test_fixture.git,ahcorde,4,1,1,,ahcorde,,,,1,1,1,,,,,,,1,,,,,,,,,,,
ros2/rmw_connext,https://github.com/ros2/rmw_connext.git,ahcorde; mjcarroll,1,1,1,,methylDragon,,,,1,1,1,,,,,,,,,,,,,,,,1,,
ros2/ros2cli_common_extensions,https://github.com/ros2/ros2cli_common_extensions.git,methylDragon,1,0,1,,quarkytale,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/ros_testing,https://github.com/ros2/ros_testing.git,quarkytale,1,0,1,quarkytale,,,,,1,1,1,,,,,,,,,,,,,,,1,,,
ros2/ros_workspace,https://github.com/ros2/ros_workspace.git,nuclearsandwich,1,1,1,,mjeronimo,,,,1,1,1,,,1,,,,,,,,,,,,,,,
ros2/rosidl_core,https://github.com/ros2/rosidl_core.git,jacobperron,1,0,1,,sloretz,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_dds,https://github.com/ros2/rosidl_dds.git,sloretz,2,0,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_defaults,https://github.com/ros2/rosidl_defaults.git,sloretz,4,1,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
ros2/rosidl_typesupport_connext,https://github.com/ros2/rosidl_typesupport_connext.git,jacobperron; hidmic,1,1,1,sloretz,,,,,1,1,1,,,,1,,,,,,,,,,,,,,
